date,date,open,high,low,close,volume,amount,amplitude,pct_change,change,turnover_rate,fetch_time
2020-01-02,,1.743,1.771,1.731,1.765,3380825,593821312.0,2.31,2.02,0.035,1.77,2026-02-11 13:56:19
2020-01-03,,1.766,1.774,1.751,1.764,2746860,484657152.0,1.3,-0.06,-0.001,1.44,2026-02-11 13:56:19
2020-01-06,,1.756,1.806,1.753,1.788,4166992,744384656.0,3.0,1.36,0.024,2.18,2026-02-11 13:56:19
2020-01-07,,1.792,1.823,1.792,1.822,3945590,713661488.0,1.73,1.9,0.034,2.06,2026-02-11 13:56:19
2020-01-08,,1.808,1.822,1.789,1.792,4959107,894926576.0,1.81,-1.65,-0.03,2.59,2026-02-11 13:56:19
2020-01-09,,1.811,1.842,1.811,1.839,4475689,818555088.0,1.73,2.62,0.047,2.34,2026-02-11 13:56:19
2020-01-10,,1.847,1.847,1.821,1.831,3546451,650123952.0,1.41,-0.44,-0.008,1.85,2026-02-11 13:56:19
2020-01-13,,1.834,1.862,1.82,1.862,4400772,812006320.0,2.29,1.69,0.031,2.3,2026-02-11 13:56:19
2020-01-14,,1.864,1.871,1.849,1.85,3806680,707363696.0,1.18,-0.64,-0.012,1.99,2026-02-11 13:56:19
2020-01-15,,1.848,1.856,1.829,1.847,2627883,484326112.0,1.46,-0.16,-0.003,1.37,2026-02-11 13:56:19
2020-01-16,,1.851,1.863,1.842,1.856,2703073,501536384.0,1.14,0.49,0.009,1.41,2026-02-11 13:56:19
2020-01-17,,1.861,1.874,1.853,1.858,2991225,557328144.0,1.13,0.11,0.002,1.56,2026-02-11 13:56:19
2020-01-20,,1.862,1.911,1.861,1.905,4151555,785167600.0,2.69,2.53,0.047,2.17,2026-02-11 13:56:19
2020-01-21,,1.9,1.911,1.881,1.892,5334019,1010621920.0,1.57,-0.68,-0.013,2.79,2026-02-11 13:56:19
2020-01-22,,1.882,1.93,1.852,1.918,4902213,925446976.0,4.12,1.37,0.026,2.56,2026-02-11 13:56:19
2020-01-23,,1.892,1.918,1.829,1.853,6523279,1220349856.0,4.64,-3.39,-0.065,3.41,2026-02-11 13:56:19
2020-02-03,,1.67,1.766,1.669,1.708,10226280,1759930592.0,5.23,-7.83,-0.145,5.34,2026-02-11 13:56:19
2020-02-04,,1.716,1.82,1.715,1.816,6955576,1239347232.0,6.15,6.32,0.108,3.63,2026-02-11 13:56:19
2020-02-05,,1.833,1.896,1.818,1.871,6230238,1159567344.0,4.3,3.03,0.055,3.25,2026-02-11 13:56:19
2020-02-06,,1.855,1.94,1.836,1.93,7059755,1340342448.0,5.56,3.15,0.059,3.69,2026-02-11 13:56:19
2020-02-07,,1.932,1.949,1.9,1.94,5020758,968173696.0,2.54,0.52,0.01,2.62,2026-02-11 13:56:19
2020-02-10,,1.938,1.966,1.924,1.961,4377523,853349840.0,2.16,1.08,0.021,2.29,2026-02-11 13:56:19
2020-02-11,,1.964,1.964,1.935,1.947,2771379,540477056.0,1.48,-0.71,-0.014,1.45,2026-02-11 13:56:19
2020-02-12,,1.943,2.012,1.939,2.006,3942707,782098800.0,3.75,3.03,0.059,2.06,2026-02-11 13:56:19
2020-02-13,,2.005,2.01,1.971,1.988,4268443,849396208.0,1.94,-0.9,-0.018,2.23,2026-02-11 13:56:19
2020-02-14,,1.983,2.022,1.965,1.987,3383130,675301616.0,2.87,-0.05,-0.001,1.77,2026-02-11 13:56:19
2020-02-17,,2.005,2.071,2.004,2.071,6896795,1411302160.0,3.37,4.23,0.084,3.6,2026-02-11 13:56:19
2020-02-18,,2.072,2.09,2.05,2.09,7042729,1461049104.0,1.93,0.92,0.019,3.68,2026-02-11 13:56:19
2020-02-19,,2.08,2.087,2.052,2.054,5724038,1184645184.0,1.67,-1.72,-0.036,2.99,2026-02-11 13:56:19
2020-02-20,,2.062,2.118,2.056,2.105,5648539,1179806160.0,3.02,2.48,0.051,2.95,2026-02-11 13:56:19
2020-02-21,,2.1,2.162,2.092,2.145,5337413,1138639744.0,3.33,1.9,0.04,2.79,2026-02-11 13:56:19
2020-02-24,,2.137,2.185,2.127,2.178,5040842,1086958000.0,2.7,1.54,0.033,2.63,2026-02-11 13:56:19
2020-02-25,,2.145,2.21,2.082,2.195,7141842,1540210400.0,5.88,0.78,0.017,3.73,2026-02-11 13:56:19
2020-02-26,,2.162,2.176,2.086,2.102,6436770,1371540256.0,4.1,-4.24,-0.093,3.36,2026-02-11 13:56:19
2020-02-27,,2.111,2.148,2.076,2.111,7620196,1609806400.0,3.43,0.43,0.009,3.98,2026-02-11 13:56:19
2020-02-28,,2.041,2.074,1.985,1.995,11449503,2320203312.0,4.22,-5.5,-0.116,5.98,2026-02-11 13:56:19
2020-03-02,,2.026,2.071,1.999,2.054,6409490,1304480320.0,3.61,2.96,0.059,3.35,2026-02-11 13:56:19
2020-03-03,,2.101,2.155,2.066,2.092,7589350,1604280864.0,4.33,1.85,0.038,3.96,2026-02-11 13:56:19
2020-03-04,,2.077,2.097,2.04,2.088,4468505,924792448.0,2.72,-0.19,-0.004,2.33,2026-02-11 13:56:19
